institution_id,tier,inst_type,city,state,openalex_id,ror_id,total_works,match_confidence,is_hub,nirf_institute_id,nirf_rank,nirf_score,nirf_year,canonical_name,latitude,longitude,geo_source
4521b7d6-9c9f-41f9-8061-593ae0c361dc,state_affiliated,State_Univ,Bengaluru,,I106826634,01cnqpt53,19558,openalex_auto,False,IR-O-U-0223,65,49.47,2024,Jain University,12.9181468,77.5919058,campus_jain_university
04e4f2b0-9883-4fb8-9c64-cb5b49d6b361,state_affiliated,State_Univ,Visakhapatnam,,I100887729,049skhf47,18808,openalex_auto,False,IR-O-U-0006,41,54.97,2024,Andhra University,17.7324,83.3265,campus_andhra_univ
4dec3aaa-d6ae-4b77-ac09-50d7bdc68bb2,state_affiliated,State_Univ,Chennai,Tamil Nadu,I43814544,01defpn95,18737,openalex_auto,False,IR-O-U-0474,85,49.52,2024,Sathyabama Institute of Science and Technology,12.8734977,80.2198655,campus_sathyabama_institute_of_science_and_tech
fb160d73-523e-4f2a-8052-11f55f43e268,state_affiliated,State_Univ,Puducherry,Puducherry,I175691731,01a3mef16,18558,openalex_auto,False,,,,,Pondicherry University,12.0271,79.8587,campus_pondicherry
0975bc21-a976-44a9-a251-f0e626168e55,state_affiliated,State_Univ,Hyderabad,Telangana,I8975392,030sjb889,17849,openalex_auto,False,IR-O-U-0027,70,52.02,2024,Osmania University,17.419,78.526,campus_osmania
2519526b-e995-469e-ae6f-8385feff245c,state_affiliated,State_Univ,Sonīpat,,I4210131147,037skf023,17606,openalex_auto,False,,,,,SRM University,28.9190359,77.1285878,campus_srm_university
1a4bb242-813a-46c1-8f5a-8782d5040d19,state_affiliated,State_Univ,Mumbai,Maharashtra,I169877490,032hdk172,17513,openalex_auto,False,IR-L-U-0886,31,51.7,2024,University of Mumbai,19.07609,72.851498,campus_kalina_mumbai_uni
90352157-ced6-4e2a-b6ef-515ed6cc5aac,state_affiliated,State_Univ,Bhubaneswar,Orissa,I193073490,056ep7w45,17506,openalex_auto,False,IR-O-U-0363,24,60.73,2024,Siksha O Anusandhan University,20.356,85.814,campus_soa_bhubaneswar
f520daa7-29f5-4b11-b9a4-9b02860351ec,state_affiliated,State_Univ,New Delhi,,I863896202,01ztcvt22,17403,openalex_auto,False,IR-O-U-0098,66,52.38,2024,Delhi Technological University,28.7506,77.1172,campus_dtu
c7c580b5-a5eb-45ec-9dde-854ee5af23c0,state_affiliated,State_Univ,Patiāla,,I162030827,00wdq3744,17053,openalex_auto,False,,,,,Thapar Institute of Engineering & Technology,30.339,76.3922,campus_thapar_patiala
52ef5836-d1be-4182-9b45-218b36478268,state_affiliated,State_Univ,Mumbai,Maharashtra,I167751958,00ykac431,17005,openalex_auto,False,IR-O-U-0308,56,53.38,2024,Institute of Chemical Technology,19.0239129,72.8587665,campus_institute_of_chemical_technology
1f4b5eaa-ddfb-448c-8805-4c0936e40f61,state_affiliated,State_Univ,Amritsar,,I165682329,05ghzpa93,16838,openalex_auto,False,,,,,Guru Nanak Dev University,31.6401718,74.8226685,campus_guru_nanak_dev_university
c1a7591c-a5be-413d-bcfb-050692c5edef,state_affiliated,State_Univ,Coimbatore,,I134900695,04fs90r60,16761,openalex_auto,False,IR-O-U-0485,84,47.03,2024,Tamil Nadu Agricultural University,11.0044,76.9308,campus_tnau
74aaf314-5e8c-4cde-9333-83e97345070d,state_affiliated,State_Univ,Tiruchchirappalli,Tamil Nadu,I4076070,02w7vnb60,16709,openalex_auto,False,IR-O-U-0448,55,53.47,2024,Bharathidasan University,10.6795,78.7094,campus_bharathidasan
d653d230-8e4e-4388-b50b-790fea6d666f,state_affiliated,State_Univ,Mangaluru,Karnataka,I11880225,01hz4v948,16602,openalex_auto,False,IR-E-U-0237,17,64.27,2024,National Institute of Technology Karnataka,13.0156,74.7963,campus_nitk_surathkal
0d1ac996-32b9-43ac-8e4f-e44cb90c8c1c,state_affiliated,State_Univ,Coimbatore,Tamil Nadu,I111575329,04fht8c22,16466,openalex_auto,False,IR-O-U-0447,44,54.81,2024,Bharathiar University,11.0389,77.0356,campus_bharathiar
b45c2598-3515-4da1-9660-75a5ff4428fa,state_affiliated,State_Univ,Warangal,,I121750182,017ebfz38,16383,openalex_auto,False,IR-E-U-0025,21,61.72,2024,National Institute of Technology Warangal,17.9833537,79.5335163,campus_national_institute_of_technology_waranga
5f71086b-ce24-4741-89c7-c8583ab5948c,state_affiliated,State_Univ,Saugor,Madhya Pradesh,I8977528,01xapxe37,16228,openalex_auto,False,,,,,Dr. Hari Singh Gour University,23.828,78.7715,campus_dhsgsu_sagar
d538b33b-7df6-426d-a326-e6336207fb5f,state_affiliated,State_Univ,Tirumala - Tirupati,Andhra Pradesh,I170558118,05weahn72,16061,openalex_auto,False,IR-O-U-0037,87,46.65,2024,Sri Venkateswara University,13.636,79.393,campus_svu_tirupati
eee22ec4-aa39-45b3-95e0-7f6250924a00,state_affiliated,State_Univ,Chennai,,I1330855593,05bc5bx80,16017,openalex_auto,False,IR-O-U-0489,96,46.22,2024,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,13.1868,80.0972,campus_veltech
d2ab91c0-a50d-44ef-b03b-6fab30b3d767,state_affiliated,State_Univ,Lucknow,Uttar Pradesh,I280994,00gvw6327,15992,openalex_auto,False,IR-D-U-0523,19,61.95,2024,King George's Medical University,26.8670236,80.9154604,campus_king_george_s_medical_university
7693ea92-ef4b-486f-96c6-89db3749c43e,state_affiliated,State_Univ,Visakhapatnam,Andhra Pradesh,I885392262,0440p1d37,15971,openalex_auto,False,,,,,GITAM University,17.778,83.3778,campus_gitam
b20ed218-ebd3-4a6b-a2c8-9bef7907b934,state_affiliated,State_Univ,Ludhiana,,I899646,02qbzdk74,15852,openalex_auto,False,IR-O-U-0381,80,50.55,2024,Punjab Agricultural University,30.9040094,75.8004222,campus_punjab_agricultural_university
104fe323-87bc-48e9-a752-22b34af999bb,state_affiliated,State_Univ,Lucknow,Uttar Pradesh,I186246823,03bdeag60,15701,openalex_auto,False,IR-O-U-0524,97,45.89,2024,University of Lucknow,26.9260863,80.9381237,campus_university_of_lucknow
cb03a5e5-b2f5-4e95-af9f-a170aab03713,state_affiliated,State_Univ,Kolkata,West Bengal,I165998391,050p6gz73,15459,openalex_auto,False,,,,,Indian Association for the Cultivation of Science,22.5386,88.3964,campus_iacs
d601a25e-5d3b-4d71-aa65-699b49346b71,state_affiliated,State_Univ,Pune,,I887998513,0052mmx10,15275,openalex_auto,False,IR-O-I-1361,78,47.94,2024,Bharati Vidyapeeth Deemed University,18.4593068,73.8569804,campus_bharati_vidyapeeth_deemed_university
b2d3eebd-0307-42ad-9f36-2a10b73de285,state_affiliated,State_Univ,Prayagraj,,I168893459,03vrx7m55,15210,openalex_auto,False,,,,,University of Allahabad,25.4297089,81.7728296,campus_university_of_allahabad
e1b3f8dc-6b5d-403e-ac6f-b1a3573c4021,state_affiliated,State_Univ,Kalyani,,I77501641,03v783k16,15058,openalex_auto,False,,,,,University of Kalyani,22.9848568,88.446038,campus_university_of_kalyani
ac895106-caa3-41c5-8959-084d58f9383c,state_affiliated,State_Univ,Mysuru,Karnataka,I204743663,012bxv356,15014,openalex_auto,False,IR-O-U-0235,86,49.45,2024,University of Mysore,12.3059327,76.6403692,campus_university_of_mysore
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,state_affiliated,State_Univ,Bhopal,Madhya Pradesh,I4210106490,01rs0zz87,14787,openalex_auto,False,IR-D-U-0687,31,57.66,2024,All India Institute of Medical Sciences Bhopal,23.2093426,77.4584547,campus_all_india_institute_of_medical_sciences
d56d1ee4-862c-4274-8441-c2db9590627d,state_affiliated,State_Univ,Akola,,I4210144496,04ayk8723,14727,openalex_auto,False,,,,,"G.S. Science, Arts And Commerce College",20.7161,76.5619,campus_gs_college_khamgaon
f7c6962b-4442-458c-90b7-eec41137a0d9,state_affiliated,State_Univ,Howrah,,I98365261,02ytfzr55,14588,openalex_auto,False,IR-E-U-0584,49,54.17,2024,"Indian Institute of Engineering Science and Technology, Shibpur",22.555,88.351,campus_iiest_shibpur
38518a3c-9425-41d0-8068-2e2332a46de1,state_affiliated,State_Univ,Raipur,Chhattisgarh,I129734738,02ys8pq62,14417,openalex_auto,False,IR-D-U-0690,38,55.27,2024,All India Institute of Medical Sciences Raipur,21.256146,81.5788694,campus_all_india_institute_of_medical_sciences
e952e5d1-7eb4-40a2-88a2-3dc7118e2255,state_affiliated,State_Univ,Ernakulam,,I20497027,00a4kqq17,14376,openalex_auto,False,IR-O-U-0253,51,53.99,2024,Cochin University of Science and Technology,10.0449079,76.3261437,campus_cochin_university_of_science_and_technol
